Start_Date,Start_Time,Heartrate,Risk
2028-03-28,00:00:55,72.909090909090907,0
2028-03-29,00:00:55,74.270588235294113,0
2028-03-30,00:00:55,95.07692307692308,1
2028-04-01,00:00:55,79.400000000000006,1
2028-04-02,00:00:55,67.610389610389603,0
2028-04-03,00:00:55,95,1
2028-04-07,00:00:55,90,1
2028-04-09,00:00:55,86.5,1
2028-04-13,00:00:55,90,1
2028-04-14,00:00:55,94,1
2028-04-16,00:00:55,97.666666666666671,1
2028-04-18,00:00:55,97,1
2028-04-20,00:00:55,96.549999999999997,1
2028-04-22,00:00:55,91,0
2028-04-23,00:00:55,94.75,1
2028-04-27,00:00:55,88,0
2028-05-01,00:00:55,94.5,1
2028-05-04,00:00:55,99.5,1
2028-05-05,00:00:55,86,0
2028-05-06,00:00:55,88,0
2028-05-11,00:00:55,101,1
2028-05-12,00:00:55,145.17073170731706,1
